Date,Confirmed,,,,,,,,,,,,,,,,,,2/15/2020,2/16/2020,2/17/2020
3/24/2020,9,,,,,,,,,,,,,,,,,,,,
3/25/2020,9,,,,,,,,,,,,,,,,,,,,
3/25/2020,4,,,,,,,,,,,,,,,,,,,,
3/25/2020,1,,,,,,,,,,,,,,,,,,,,
3/25/2020,31,,,,,,,,,,,,,,,,,,,,
3/25/2020,38,,,,,,,,,,,,,,,,,,,,
3/25/2020,28,,,,,,,,,,,,,,,,,,,,
3/25/2020,3,,,,,,,,,,,,,,,,,,,,
3/25/2020,41,,,,,,,,,,,,,,,,,,,,
3/25/2020,109,,,,,,,,,,,,,,,,,,,,
3/25/2020,14,,,,,,,,,,,,,,,,,,,,
3/25/2020,128,,,,,,,,,,,,,,,,,,,,
3/25/2020,1,,,,,,,,,,,,,,,,,,,,
3/25/2020,1,,,,,,,,,,,,,,,,,,,,
3/25/2020,2,,,,,,,,,,,,,,,,,,,,
3/25/2020,1,,,,,,,,,,,,,,,,,,,,
3/25/2020,29,,,,,,,,,,,,,,,,,,,,
3/25/2020,36,,,,,,,,,,,,,,,,,,,,
3/25/2020,18,,,,,,,,,,,,,,,,,,,,
3/25/2020,35,,,,,,,,,,,,,,,,,,,,
3/25/2020,7,,,,,,,,,,,,,,,,,,,,
3/25/2020,7,,,,,,,,,,,,,,,,,,,,
3/25/2020,13,,,,,,,,,,,,,,,,,,,,
3/25/2020,37,,,,,,,,,,,,,,,,,,,,
3/25/2020,4,,,,,,,,,,,,,,,,,,,,
3/25/2020,9,,,,,,,,,,,,,,,,,,,,
3/26/2020,1,,,,,,,,,,,,,,,,,,,,
3/26/2020,11,,,,,,,,,,,,,,,,,,,,
3/26/2020,6,,,,,,,,,,,,,,,,,,,,
3/26/2020,7,,,,,,,,,,,,,,,,,,,,
3/26/2020,6,,,,,,,,,,,,,,,,,,,,
3/26/2020,36,,,,,,,,,,,,,,,,,,,,
3/26/2020,3,,,,,,,,,,,,,,,,,,,,
3/26/2020,43,,,,,,,,,,,,,,,,,,,,
3/26/2020,30,,,,,,,,,,,,,,,,,,,,
3/26/2020,3,,,,,,,,,,,,,,,,,,,,
3/26/2020,13,,,,,,,,,,,,,,,,,,,,
3/26/2020,55,,,,,,,,,,,,,,,,,,,,
3/26/2020,118,,,,,,,,,,,,,,,,,,,,
3/26/2020,13,,,,,,,,,,,,,,,,,,,,
3/26/2020,20,,,,,,,,,,,,,,,,,,,,
3/26/2020,124,,,,,,,,,,,,,,,,,,,,
3/26/2020,1,,,,,,,,,,,,,,,,,,,,
3/26/2020,1,,,,,,,,,,,,,,,,,,,,
3/26/2020,2,,,,,,,,,,,,,,,,,,,,
3/26/2020,1,,,,,,,,,,,,,,,,,,,,
3/26/2020,33,,,,,,,,,,,,,,,,,,,,
3/26/2020,41,,,,,,,,,,,,,,,,,,,,
3/26/2020,26,,,,,,,,,,,,,,,,,,,,
3/26/2020,44,,,,,,,,,,,,,,,,,,,,
3/26/2020,5,,,,,,,,,,,,,,,,,,,,
3/26/2020,41,,,,,,,,,,,,,,,,,,,,
3/26/2020,10,,,,,,,,,,,,,,,,,,,,
3/27/2020,1,,,,,,,,,,,,,,,,,,,,
3/27/2020,12,,,,,,,,,,,,,,,,,,,,
3/27/2020,6,,,,,,,,,,,,,,,,,,,,
3/27/2020,7,,,,,,,,,,,,,,,,,,,,
3/27/2020,6,,,,,,,,,,,,,,,,,,,,
3/27/2020,36,,,,,,,,,,,,,,,,,,,,
3/27/2020,3,,,,,,,,,,,,,,,,,,,,
3/27/2020,43,,,,,,,,,,,,,,,,,,,,
3/27/2020,30,,,,,,,,,,,,,,,,,,,,
3/27/2020,3,,,,,,,,,,,,,,,,,,,,
3/27/2020,13,,,,,,,,,,,,,,,,,,,,
3/27/2020,55,,,,,,,,,,,,,,,,,,,,
3/27/2020,137,,,,,,,,,,,,,,,,,,,,
3/27/2020,13,,,,,,,,,,,,,,,,,,,,
3/27/2020,20,,,,,,,,,,,,,,,,,,,,
3/27/2020,130,,,,,,,,,,,,,,,,,,,,
3/27/2020,1,,,,,,,,,,,,,,,,,,,,
3/27/2020,1,,,,,,,,,,,,,,,,,,,,
3/27/2020,2,,,,,,,,,,,,,,,,,,,,
3/27/2020,1,,,,,,,,,,,,,,,,,,,,
3/27/2020,33,,,,,,,,,,,,,,,,,,,,
3/27/2020,41,,,,,,,,,,,,,,,,,,,,
3/27/2020,29,,,,,,,,,,,,,,,,,,,,
3/27/2020,45,,,,,,,,,,,,,,,,,,,,
3/27/2020,5,,,,,,,,,,,,,,,,,,,,
3/27/2020,41,,,,,,,,,,,,,,,,,,,,
3/27/2020,10,,,,,,,,,,,,,,,,,,,,
3/28/2020,14,,,,,,,,,,,,,,,,,,,,
3/28/2020,6,,,,,,,,,,,,,,,,,,,,
3/28/2020,9,,,,,,,,,,,,,,,,,,,,
3/28/2020,8,,,,,,,,,,,,,,,,,,,,
3/28/2020,6,,,,,,,,,,,,,,,,,,,,
3/28/2020,39,,,,,,,,,,,,,,,,,,,,
3/28/2020,3,,,,,,,,,,,,,,,,,,,,
3/28/2020,45,,,,,,,,,,,,,,,,,,,,
3/28/2020,33,,,,,,,,,,,,,,,,,,,,
3/28/2020,3,,,,,,,,,,,,,,,,,,,,
3/28/2020,20,,,,,,,,,,,,,,,,,,,,
3/28/2020,55,,,,,,,,,,,,,,,,,,,,
3/28/2020,176,,,,,,,,,,,,,,,,,,,,
3/28/2020,13,,,,,,,,,,,,,,,,,,,,
3/28/2020,30,,,,,,,,,,,,,,,,,,,,
3/28/2020,180,,,,,,,,,,,,,,,,,,,,
3/28/2020,1,,,,,,,,,,,,,,,,,,,,
3/28/2020,1,,,,,,,,,,,,,,,,,,,,
3/28/2020,3,,,,,,,,,,,,,,,,,,,,
3/28/2020,1,,,,,,,,,,,,,,,,,,,,
3/28/2020,38,,,,,,,,,,,,,,,,,,,,
3/28/2020,54,,,,,,,,,,,,,,,,,,,,
3/28/2020,40,,,,,,,,,,,,,,,,,,,,
3/28/2020,56,,,,,,,,,,,,,,,,,,,,
3/28/2020,5,,,,,,,,,,,,,,,,,,,,
3/28/2020,55,,,,,,,,,,,,,,,,,,,,
3/28/2020,15,,,,,,,,,,,,,,,,,,,,
3/29/2020,19,,,,,,,,,,,,,,,,,,,,
3/29/2020,9,,,,,,,,,,,,,,,,,,,,
3/29/2020,11,,,,,,,,,,,,,,,,,,,,
3/29/2020,8,,,,,,,,,,,,,,,,,,,,
3/29/2020,7,,,,,,,,,,,,,,,,,,,,
3/29/2020,49,,,,,,,,,,,,,,,,,,,,
3/29/2020,5,,,,,,,,,,,,,,,,,,,,
3/29/2020,58,,,,,,,,,,,,,,,,,,,,
3/29/2020,33,,,,,,,,,,,,,,,,,,,,
3/29/2020,3,,,,,,,,,,,,,,,,,,,,
3/29/2020,31,,,,,,,,,,,,,,,,,,,,
3/29/2020,76,,,,,,,,,,,,,,,,,,,,
3/29/2020,182,,,,,,,,,,,,,,,,,,,,
3/29/2020,13,,,,,,,,,,,,,,,,,,,,
3/29/2020,30,,,,,,,,,,,,,,,,,,,,
3/29/2020,186,,,,,,,,,,,,,,,,,,,,
3/29/2020,1,,,,,,,,,,,,,,,,,,,,
3/29/2020,1,,,,,,,,,,,,,,,,,,,,
3/29/2020,3,,,,,,,,,,,,,,,,,,,,
3/29/2020,1,,,,,,,,,,,,,,,,,,,,
3/29/2020,38,,,,,,,,,,,,,,,,,,,,
3/29/2020,55,,,,,,,,,,,,,,,,,,,,
3/29/2020,49,,,,,,,,,,,,,,,,,,,,
3/29/2020,66,,,,,,,,,,,,,,,,,,,,
3/29/2020,7,,,,,,,,,,,,,,,,,,,,
3/29/2020,65,,,,,,,,,,,,,,,,,,,,
3/29/2020,18,,,,,,,,,,,,,,,,,,,,
3/30/2020,23,,,,,,,,,,,,,,,,,,,,
